name,sodium
Wheaties Honey Gold,200
Post Nat. Raisin Bran,200
Total Whole Grain,200
Wheaties,200
Almond Delight,200
Total Corn Flakes,200
Frosted Flakes,200
Bran Chex,200
Basic 4,210
Cinnamon Toast Crunch,210
Bran Flakes,210
Raisin Bran,210
Multi-Grain Cheerios,220
Crispix,220
Nutri-Grain Almond-Raisin,220
Cap'n'Crunch,220
Honey Graham Ohs,220
Special K,230
Wheat Chex,230
Rice Chex,240
Honey Nut Cheerios,250
Triples,250
Kix,260
All-Bran,260
Golden Grahams,280
Cheerios,290
Rice Krispies,290
Corn Flakes,290
Product 19,320
