Ano,Ciudad,Deporte,Especialidad,Ganador,Competencia,Genero,Medalla
1924,CHAMONIX,Skating,Figure skating,AUT,individual,M,Silver
1924,CHAMONIX,Skating,Figure skating,AUT,individual,W,Gold
1924,CHAMONIX,Skating,Figure skating,AUT,pairs,X,Gold
1924,CHAMONIX,Bobsleigh,Bobsleigh,BEL,four-man,M,Bronze
1924,CHAMONIX,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1924,CHAMONIX,Biathlon,Biathlon,FIN,military patrol,M,Silver
1924,CHAMONIX,Skating,Figure skating,FIN,pairs,X,Silver
1924,CHAMONIX,Skating,Speed skating,FIN,10000m,M,Gold
2006,CHAMONIX,Skating,Speed skating,FIN,10000m,M,Silver
1924,CHAMONIX,Skating,Speed skating,FIN,1500m,M,Gold
1924,CHAMONIX,Skating,Speed skating,FIN,5000m,M,Gold
1924,CHAMONIX,Skating,Speed skating,FIN,5000m,M,Silver
1924,CHAMONIX,Skating,Speed skating,FIN,500m,M,Bronze
1924,CHAMONIX,Skating,Speed skating,FIN,combined (4 events),M,Bronze
1924,CHAMONIX,Skating,Speed skating,FIN,combined (4 events),M,Gold
1924,CHAMONIX,Skiing,Cross Country S,FIN,18km,M,Bronze
1924,CHAMONIX,Biathlon,Biathlon,FRA,military patrol,M,Bronze
1924,CHAMONIX,Curling,Curling,FRA,curling,M,Bronze
1924,CHAMONIX,Skating,Figure skating,FRA,pairs,X,Bronze
2006,CHAMONIX,Bobsleigh,Bobsleigh,GBR,four-man,M,Silver
1924,CHAMONIX,Curling,Curling,GBR,curling,M,Gold
1924,CHAMONIX,Ice Hockey,Ice Hockey,GBR,ice hockey,M,Bronze
1924,CHAMONIX,Skating,Figure skating,GBR,individual,W,Bronze
1924,CHAMONIX,Skating,Speed skating,NOR,10000m,M,Bronze
2006,CHAMONIX,Skating,Speed skating,NOR,1500m,M,Bronze
1924,CHAMONIX,Skating,Speed skating,NOR,1500m,M,Silver
1924,CHAMONIX,Skating,Speed skating,NOR,5000m,M,Bronze
2006,CHAMONIX,Skating,Speed skating,NOR,500m,M,Bronze
1924,CHAMONIX,Skating,Speed skating,NOR,500m,M,Silver
1924,CHAMONIX,Skating,Speed skating,NOR,combined (4 events),M,Silver
1924,CHAMONIX,Skiing,Cross Country S,NOR,18km,M,Gold
1924,CHAMONIX,Skiing,Cross Country S,NOR,18km,M,Silver
1924,CHAMONIX,Skiing,Cross Country S,NOR,50km,M,Bronze
1924,CHAMONIX,Skiing,Cross Country S,NOR,50km,M,Gold
1924,CHAMONIX,Skiing,Cross Country S,NOR,50km,M,Silver
2006,CHAMONIX,Skiing,Nordic Combined,NOR,individual,M,Bronze
1924,CHAMONIX,Skiing,Nordic Combined,NOR,individual,M,Gold
1924,CHAMONIX,Skiing,Nordic Combined,NOR,individual,M,Silver
1924,CHAMONIX,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1924,CHAMONIX,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1924,CHAMONIX,Biathlon,Biathlon,SUI,military patrol,M,Gold
1924,CHAMONIX,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold
1924,CHAMONIX,Skating,Figure skating,SUI,individual,M,Bronze
1924,CHAMONIX,Curling,Curling,SWE,curling,M,Silver
1924,CHAMONIX,Skating,Figure skating,SWE,individual,M,Gold
1924,CHAMONIX,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
1924,CHAMONIX,Skating,Figure skating,USA,individual,W,Silver
1924,CHAMONIX,Skating,Speed skating,USA,500m,M,Gold
1924,CHAMONIX,Skiing,Ski Jumping,USA,K90 individual (70m),M,Bronze
1928,ST. MORITZ,Skating,Figure skating,AUT,individual,M,Silver
1928,ST. MORITZ,Skating,Figure skating,AUT,individual,W,Silver
1928,ST. MORITZ,Skating,Figure skating,AUT,pairs,X,Bronze
1928,ST. MORITZ,Skating,Figure skating,AUT,pairs,X,Silver
1928,ST. MORITZ,Skating,Figure skating,BEL,individual,M,Bronze
1928,ST. MORITZ,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1928,ST. MORITZ,Skating,Speed skating,FIN,1500m,M,Gold
1928,ST. MORITZ,Skating,Speed skating,FIN,5000m,M,Silver
1928,ST. MORITZ,Skating,Speed skating,FIN,500m,M,Bronze
1928,ST. MORITZ,Skating,Speed skating,FIN,500m,M,Gold
1928,ST. MORITZ,Skating,Figure skating,FRA,pairs,X,Gold
1928,ST. MORITZ,Bobsleigh,Skeleton,GBR,individual,M,Bronze
1928,ST. MORITZ,Bobsleigh,Bobsleigh,GER,five-man,M,Bronze
1928,ST. MORITZ,Skating,Figure skating,NOR,individual,W,Gold
1928,ST. MORITZ,Skating,Speed skating,NOR,1500m,M,Bronze
1928,ST. MORITZ,Skating,Speed skating,NOR,1500m,M,Silver
1928,ST. MORITZ,Skating,Speed skating,NOR,5000m,M,Bronze
1928,ST. MORITZ,Skating,Speed skating,NOR,5000m,M,Gold
1928,ST. MORITZ,Skating,Speed skating,NOR,500m,M,Bronze
1928,ST. MORITZ,Skating,Speed skating,NOR,500m,M,Gold
1928,ST. MORITZ,Skiing,Cross Country S,NOR,18km,M,Bronze
1928,ST. MORITZ,Skiing,Cross Country S,NOR,18km,M,Gold
1928,ST. MORITZ,Skiing,Cross Country S,NOR,18km,M,Silver
1928,ST. MORITZ,Skiing,Nordic Combined,NOR,individual,M,Bronze
1928,ST. MORITZ,Skiing,Nordic Combined,NOR,individual,M,Gold
1928,ST. MORITZ,Skiing,Nordic Combined,NOR,individual,M,Silver
1928,ST. MORITZ,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1928,ST. MORITZ,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1928,ST. MORITZ,Ice Hockey,Ice Hockey,SUI,ice hockey,M,Bronze
1928,ST. MORITZ,Ice Hockey,Ice Hockey,SWE,ice hockey,M,Silver
1928,ST. MORITZ,Skating,Figure skating,SWE,individual,M,Gold
1928,ST. MORITZ,Skiing,Cross Country S,SWE,50km,M,Bronze
1928,ST. MORITZ,Skiing,Cross Country S,SWE,50km,M,Gold
1928,ST. MORITZ,Skiing,Cross Country S,SWE,50km,M,Silver
1928,ST. MORITZ,Skiing,Ski Jumping,TCH,K90 individual (70m),M,Bronze
1928,ST. MORITZ,Bobsleigh,Bobsleigh,USA,five-man,M,Gold
1928,ST. MORITZ,Bobsleigh,Bobsleigh,USA,five-man,M,Silver
1928,ST. MORITZ,Bobsleigh,Skeleton,USA,individual,M,Gold
1928,ST. MORITZ,Bobsleigh,Skeleton,USA,individual,M,Silver
1928,ST. MORITZ,Skating,Figure skating,USA,individual,W,Bronze
1928,ST. MORITZ,Skating,Speed skating,USA,500m,M,Bronze
1932,LAKE PLACID,Skating,Figure skating,AUT,individual,M,Gold
1932,LAKE PLACID,Skating,Figure skating,AUT,individual,W,Silver
1932,LAKE PLACID,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1932,LAKE PLACID,Skating,Figure skating,CAN,individual,M,Bronze
1932,LAKE PLACID,Skating,Speed skating,CAN,10000m,M,Bronze
1932,LAKE PLACID,Skating,Speed skating,CAN,1500m,M,Bronze
1932,LAKE PLACID,Skating,Speed skating,CAN,1500m,M,Silver
1932,LAKE PLACID,Skating,Speed skating,CAN,5000m,M,Bronze
1932,LAKE PLACID,Skating,Speed skating,CAN,500m,M,Bronze
1932,LAKE PLACID,Skiing,Cross Country S,FIN,18km,,Bronze
1932,LAKE PLACID,Skiing,Cross Country S,FIN,50km,M,Gold
1932,LAKE PLACID,Skiing,Cross Country S,FIN,50km,M,Silver
1932,LAKE PLACID,Skating,Figure skating,FRA,pairs,X,Gold
1932,LAKE PLACID,Bobsleigh,Bobsleigh,GER,four-man,M,Bronze
1932,LAKE PLACID,Ice Hockey,Ice Hockey,GER,ice hockey,M,Bronze
1932,LAKE PLACID,Skating,Figure skating,HUN,pairs,X,Bronze
1932,LAKE PLACID,Skating,Figure skating,NOR,individual,W,Gold
1932,LAKE PLACID,Skating,Speed skating,NOR,10000m,M,Silver
1932,LAKE PLACID,Skating,Speed skating,NOR,500m,M,Silver
1932,LAKE PLACID,Skiing,Cross Country S,NOR,50km,M,Bronze
1932,LAKE PLACID,Skiing,Nordic Combined,NOR,individual,M,Bronze
1932,LAKE PLACID,Skiing,Nordic Combined,NOR,individual,M,Gold
1932,LAKE PLACID,Skiing,Nordic Combined,NOR,individual,M,Silver
1932,LAKE PLACID,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
1932,LAKE PLACID,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1932,LAKE PLACID,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1932,LAKE PLACID,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
1932,LAKE PLACID,Skating,Figure skating,SWE,individual,M,Silver
1932,LAKE PLACID,Skiing,Cross Country S,SWE,18km,M,Gold
1932,LAKE PLACID,Skiing,Cross Country S,SWE,18km,M,Silver
1932,LAKE PLACID,Bobsleigh,Bobsleigh,USA,four-man,M,Gold
1932,LAKE PLACID,Bobsleigh,Bobsleigh,USA,four-man,M,Silver
1932,LAKE PLACID,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
1932,LAKE PLACID,Bobsleigh,Bobsleigh,USA,two-man,M,Gold
1932,LAKE PLACID,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
1932,LAKE PLACID,Skating,Figure skating,USA,individual,W,Bronze
1932,LAKE PLACID,Skating,Figure skating,USA,pairs,X,Silver
